"","from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count","created_date","score","age","search_term","url"
"2079","411754008869486","Aécio Neves","O Brasil acordou, hoje, perplexo, com as mais graves denúncias de corrupção da nossa história recente. Está aí o Mensalão 2, é o governo do PT patrocinando o assalto às nossas empresas públicas  para a manutenção do seu projeto de poder. É fundamental que essas investigações possam ir ainda mais a fundo, para que os verdadeiros responsáveis pelo assalto às empresas brasileiras sejam punidos de forma exemplar. Estamos disputando essas eleições contra um grupo que utiliza o dinheiro sujo da corrupção para manter-se no poder. Por isso, eu acredito que chegou a hora de darmos um basta a isso e tirarmos, de forma definitiva, o PT do poder. - Aécio Neves","2014-09-06T13:36:28+0000","video","https://www.facebook.com/video.php?v=827934893918060","411754008869486_827934893918060",60269,9147,99616,2014-09-06,68540.6,-8,"Aécio",NA
"299","109597815616","VEJA",NA,"2014-09-13T01:00:01+0000","link","http://abr.ai/1usu4DS","109597815616_10152509916705617",37390,2387,28127,2014-09-13,21331.3,-1,"Dilma",NA
"429","411754008869486","Aécio Neves","Marina Silva me acusou, hoje, pelo Twitter, de estar fazendo ""o mesmo trabalho de desconstrução que o PT faz"" sobre ela. Em resposta, expliquei que, como candidato, estou fazendo o debate político, fundamental para a democracia. Não quero desconstruir a sua imagem. Dizer que Marina Silva passou mais de 20 anos no PT não deveria ofendê-la, pois é a sua trajetória política. Eu me orgulho da minha. Não concordo com a presidente Dilma, quando ela diz que a Marina se parece com o Collor. Não há semelhanças entre o PSDB e o PT, nem nas críticas. Quem imagina ser presidente da República precisa dizer quem é. Debater não é desrespeitar o adversário, mas respeitar o eleitor. - Aécio Neves","2014-09-11T20:16:45+0000","status",NA,"411754008869486_831047316940151",67770,5893,15897,2014-09-11,18083.1,-3,"Dilma",NA
"297","109597815616","VEJA","A campanha de Dilma promove um ataque desleal e mentiroso à candidata do PSB, Marina Silva. A avaliação é do colunista de VEJA, Marco Antônio Villa, no Aqui entre nós, com Joice Hasselmann.","2014-09-13T01:13:26+0000","link","http://abr.ai/1xVVBl6","109597815616_10152510229305617",28367,3408,17495,2014-09-13,14356.1,-1,"Dilma",NA
"404","136852373848","Terra","Sob o comando da presidente Dilma Rousseff, o “Brasil passou da efervescência para a melancolia”. Essa é a opinião de Anderson Antunes, colunista da revista Forbes.Você concorda?","2014-09-12T12:40:01+0000","link","http://noticias.terra.com.br/eleicoes/dilma-rousseff/forbes-lista-cinco-motivos-para-nao-reeleger-dilma-rousseff,8c172c3888968410VgnVCM5000009ccceb0aRCRD.html","136852373848_10153265621518849",16925,1697,14704,2014-09-12,11024,-2,"Dilma",NA
"2151","411754008869486","Aécio Neves","José Serra, Arthur Virgílio, Antonio Anastasia, Fernando Henrique Cardoso, Alvaro Dias,  Antonio Carlos Magalhães Neto, Beto Richa, Marconi Perillo contam quem é Aécio Neves.Se você gostou, compartilhe! #MudaBrasil","2014-09-05T16:22:13+0000","video","https://www.facebook.com/video.php?v=827291977315685","411754008869486_827291977315685",13670,1165,15063,2014-09-05,10754.3,-9,"Aécio",NA
"2019","411754008869486","Aécio Neves","Zico - Arthur Antunes Coimbra, Marcelo Madureira, Bebeto, Carlinhos de Jesus, Giovane Gávio Oficial e Henrique Portugal contam quem é que eles apoiam e querem que seja eleito! Se você gostou, compartihe!#VamosAgirwww.vamosagir.com.br","2014-09-07T01:56:04+0000","video","https://www.facebook.com/video.php?v=828341397210743","411754008869486_828341397210743",15133,812,14413,2014-09-07,10404.7,-7,"Aécio",NA
"721","109597815616","VEJA","Novo caso de corrupção na Petrobras do PT muda campanha mais uma vez, avalia imprensa internacional","2014-09-08T15:48:50+0000","link","http://abr.ai/1tETC1O","109597815616_10152500872650617",20108,2394,12053,2014-09-08,9960.8,-6,"Dilma",NA
"2442","126351747376464","Marina Silva","Tome muito cuidado com o que dizem por aí. Porque quanto mais a Marina subir, mais o nível dos adversários vai descer.#SouMarina40","2014-09-12T22:27:54+0000","video","https://www.facebook.com/video.php?v=859449234066708","126351747376464_859449234066708",23907,1439,11298,2014-09-12,9601.2,-2,"Marina",NA
"1668","411754008869486","Aécio Neves","""Acorda o país inteiro, avisa o povo nas ruas! ♪♫Levanta, Brasil guerreiro, vem junto que a Pátria é sua! ♪♫A força que o Brasil precisa, chamou! Aé, Aé, Aé, Aécio, eu vou! ♪♫""Venha cantar com a gente! Vamos fazer com que essa música chegue a todo o Brasil! Compartilhe! #MudaBrasil","2014-09-11T14:40:40+0000","video","https://www.facebook.com/video.php?v=830903383621211","411754008869486_830903383621211",12586,1009,12967,2014-09-11,9341.5,-3,"Aécio",NA
"2429","126351747376464","Marina Silva","Marina responde. Veja nosso programa de TV.#SouMarina40","2014-09-13T00:00:00+0000","video","https://www.facebook.com/video.php?v=859467434064888","126351747376464_859467434064888",14900,1397,11725,2014-09-13,8944.1,-1,"Marina",NA
"357","351338968253034","Dilma Rousseff","#VotoDilmaisVeja quem declarou voto na presidenta Dilma, o ator Henri Castelli!Ele gravou vídeo justificando o motivo: ""Somos todos corações valentes"".Maravilha!!!!Você também quer manifestar apoio à Dilma? Mande sua foto ou vídeo com o recado para fotodilmais@gmail.com que a publicaremos aqui.Mas atenção! Os vídeos devem ser curtinhos, com mensagens dirigidas apenas à presidenta, e as fotos não podem ser montagens!","2014-09-12T18:10:16+0000","video","https://www.facebook.com/video.php?v=740550975998496","351338968253034_740550975998496",20329,2110,10265,2014-09-12,8824.9,-2,"Dilma",NA
"1676","411754008869486","Aécio Neves","Após uma mudança muito rápida no quadro eleitoral, segundo as pesquisas, houve agora uma estabilização. Continuo absolutamente confiante de que, nas próximas semanas, teremos todas as condições de voltar a crescer para estarmos no segundo turno e vencermos as eleições - Aécio Neves","2014-09-11T01:08:10+0000","status",NA,"411754008869486_830627760315440",49352,4953,3976,2014-09-11,8806.7,-3,"Aécio",NA
"1001","211857482296579","Jair Messias Bolsonaro","ESSA É A HISTÓRIA QUE, INFELIZMENTE, NÃO SE APRENDE NAS ESCOLAS MAS ESTÃO NOS ""PORÕES"" DAS BIBLIOTECAS DO CONGRESSO NACIONAL:No pronunciamento de ontem, revelamos o passado oculto e manchado de sangue da atual Presidente da República e divulgamos as verdadeiras especialidades de alguns de seus principais pseudo-ministros e aliados. http://youtu.be/TOebT8EVmsA","2014-09-04T23:00:01+0000","video","http://youtu.be/TOebT8EVmsA","211857482296579_366420070173652",11763,871,12158,2014-09-04,8732.4,-10,"Dilma",NA
"1134","176976939109000","Marco Feliciano",NA,"2014-09-03T14:30:00+0000","link","http://noticias.gospelprime.com.br/video-silas-malafaia-x-dilma-rousseff/","176976939109000_475651285908229",29816,1330,8155,2014-09-03,8273.6,-11,"Dilma",NA
"254","351338968253034","Dilma Rousseff","NO COMPASSO Dilma não resistiu e arriscou um passinho com a Cia. Na Batalha, do Rio de Janeiro, após apresentação do grupo em ato com a juventude, em BH. #Dilma13emTodoBrasil #Agita13","2014-09-13T21:07:46+0000","video","https://www.facebook.com/video.php?v=741210129265914","351338968253034_741210129265914",16809,3544,7301,2014-09-13,7124.7,-1,"Dilma",NA
"3150","126351747376464","Marina Silva","O Brasil inteiro está se unindo em torno de um novo projeto, uma nova maneira de se fazer política.#SouMarina40","2014-09-03T15:58:06+0000","video","https://www.facebook.com/video.php?v=853392351339063","126351747376464_853392351339063",20435,1303,7766,2014-09-03,7094,-11,"Marina",NA
"536","351338968253034","Dilma Rousseff","""Quando se oculta, se abafa e se engaveta, se cria a ilusão de que a corrupção não existe. Na verdade, é o contrário. Nos regimes fechados e nos governos corruptos, onde não existe controle interno ou externo da corrupção, prevalece a falsa ideia de que não existe nada de errado"", explicou Dilma.A presidenta afirmou que o Brasil vive hoje um novo tempo no combate à corrupção.""A gente não tem que ter medo de ir fundo, porque a verdade liberta, enquanto a mentira cria a falsa ilusão de que tudo está bem. Mas também precisamos ficar atentos, porque a demagogia cria a falsa impressão de que tudo piora"", continuou.""Precisamos ter a coragem de enfrentar as dores do nascimento de um novo Brasil. É isso o que estamos fazendo, doa a quem doer. É assim que vou continuar trabalhando porque tenho as mãos limpas e exijo de todos o mesmo respeito com o dinheiro público"".","2014-09-10T15:05:04+0000","video","https://www.facebook.com/video.php?v=739473536106240","351338968253034_739473536106240",10923,1844,8945,2014-09-10,7012.5,-4,"Dilma",NA
"1144","136852373848","Terra","""Ela se recusou a dar a entrevista. Naturalmente, um direito dela”, disse William Waack. ""Em respeito aos telespectadores, vamos apresentar algumas das perguntas que seriam feitas a ela. (...) Os telespectadores ficarão sem resposta"".","2014-09-03T13:10:00+0000","link","http://diversao.terra.com.br/tv/sala-de-tv/blog/2014/09/03/no-jornal-da-globo-dilma-e-criticada-por-cancelar-entrevista/","136852373848_10153241054803849",17628,2262,7399,2014-09-03,6880.8,-11,"Dilma",NA
"425","351338968253034","Dilma Rousseff","LEVIANA E INCONSEQUENTEA presidenta Dilma saiu em defesa da militância e da história do PT ao rebater as declarações da candidata Marina Silva:""Eu repudio com muita indignação a declaração da candidata Marina. Depois, eu considero que a candidata Marina tem que parar de usar suas conveniências pessoais para fazer declarações. Marina ficou 27 anos no Partido dos Trabalhadores. Todos os seus mandatos ela obteve graças ao PT. Dos 12 anos aos quais ela se refere, oito ela esteve no governo ou na bancada do partido no Senado Federal. Eu acredito que não é possível que as pessoas tenham posições que não honram a sua trajetória política e tentam se esconder atrás de falas que não medem o sentido dos seus próprios atos durante a vida. A militância do PT e a história do PT foram fundamentais para a candidata chegar aonde chegou. Uma frase dessas mostra uma posição extremamente leviana e inconsequente. Eu lamento profundamente uma fala desse tipo"".Dilma Rousseff","2014-09-11T21:43:58+0000","status",NA,"351338968253034_740146129372314",18565,2351,7194,2014-09-11,6878.2,-3,"Dilma",NA
"3301","351338968253034","Dilma Rousseff","SEM RECUOA presidenta Dilma defendeu hoje a criminalização da homofobia durante entrevista a jornalistas, após o debate entre presidenciáveis. Ela criticou o posicionamento da candidata Marina Silva, do PSB, que alterou trecho de seu programa de governo onde o tema era abordado.Dilma defendeu que não pode haver recuo nem mudanças de posturas quando se tratar de vidas. ""A homofobia é uma ofensa ao País, porque o Brasil é uma sociedade que sempre foi tolerante com a diferença"", afirmou Dilma.Para Dilma, a homofobia não é algo com o qual se pode conviver.#NãoàHomofobia#MaisMudançasMaisFuturo","2014-09-02T01:08:14+0000","link","http://eleicoes.uol.com.br/2014/noticias/2014/09/01/apos-recuo-de-marina-dilma-defende-criminalizacao-da-homofobia-pela-1-vez.htm","351338968253034_734396563280604",19540,1957,7171,2014-09-02,6843.7,-12,"Marina",NA
"2159","411754008869486","Aécio Neves","Você conhece a trajetória de Aécio Neves? Compartilhe!#MudaBrasil","2014-09-05T14:11:37+0000","video","https://www.facebook.com/video.php?v=827223813989168","411754008869486_827223813989168",8200,572,9742,2014-09-05,6836.8,-9,"Aécio",NA
"683","109597815616","VEJA","Nomes dos políticos envolvidos foram revelados em VEJA desta semana","2014-09-08T21:11:22+0000","link","http://abr.ai/1pIO277","109597815616_10152501465725617",12634,3546,7230,2014-09-08,6665.2,-6,"Dilma",NA
"657","351338968253034","Dilma Rousseff","Enquanto uns desprezam o pré-sal, outros se dispõem a mergulhar fundo em busca do petróleo que vai ser o nosso passaporte para o futuro.Assista!","2014-09-09T00:00:01+0000","video","https://www.facebook.com/video.php?v=738614572858803","351338968253034_738614572858803",8715,1265,8989,2014-09-09,6644.4,-5,"Dilma",NA
"795","109597815616","VEJA","Candidato do PSDB à presidência afirma que Dilma Rousseff não poderá alegar que não sabia de megaesquema de corrupção na Petrobras — revelado por VEJA nesta semana","2014-09-07T13:38:18+0000","link","http://abr.ai/1qFpSOB","109597815616_10152498582055617",20089,1413,6874,2014-09-07,6557.2,-7,"Dilma",NA
"2694","176976939109000","Marco Feliciano",NA,"2014-09-09T20:30:01+0000","link","http://noticias.gospelprime.com.br/marina-levara-80-votos-evangelicos-afirma-malafaia/","176976939109000_479924475480910",32924,2205,4283,2014-09-09,6523.7,-5,"Marina",NA
"2888","109597815616","VEJA","Denúncias atingem o governo em cheio e também podem prejudicar candidatura de Marina","2014-09-06T21:52:25+0000","link","http://abr.ai/1tBpwfD","109597815616_10152497329385617",16831,3074,6412,2014-09-06,6452.5,-8,"Marina",NA
"1126","411754008869486","Aécio Neves","A Dilma já teve sua oportunidade e não conseguiu melhorar o Brasil. Você que quer mudanças tem dois principais caminhos: Marina e Aécio Neves, mas, para governar, não basta ter apenas boas intenções. É preciso ter equipe, ideias já testadas e, principalmente, força política para fazer a mudança acontecer de verdade! Se você concorda, seja bem-vindo! #MudaBrasil","2014-09-03T16:03:38+0000","video","https://www.facebook.com/video.php?v=825723054139244","411754008869486_825723054139244",18294,1505,6815,2014-09-03,6369.9,-11,"Dilma",NA
"3098","126351747376464","Marina Silva","Temos um Programa de Governo para apresentar. Não vamos desperdiçar nosso tempo com ataques e agressões.Veja nosso programa que vai ao ar agora na TV.#SouMarina40","2014-09-04T16:00:24+0000","video","https://www.facebook.com/video.php?v=853989904612641","126351747376464_853989904612641",15080,1015,6778,2014-09-04,5879.3,-10,"Marina",NA
"981","267949976607343","Lula","""Tem muita gente falando em nova política. E essa pessoa já foi deputada e senadora. Se tem uma nova política no Brasil, essa nova política é a Dilma"", afirmou Lula esta noite, em Recife, ao lado de Dilma Rousseff, Armando Monteiro e João Paulo. Ouça a íntegra da fala dele: Fotos: Ricardo Stuckert/Instituto Lula","2014-09-05T02:40:39+0000","photo","https://www.facebook.com/Lula/photos/pcb.684802394922097/684801461588857/?type=1&relevant_count=3","267949976607343_684802394922097",22859,1509,4798,2014-09-05,5617.4,-9,"Dilma","https://soundcloud.com/institutolula/lula-discursa-em-brasila-teimosa-pernambuco"
"342","109597815616","VEJA","Campanha de Dilma Rousseff adota golpes baixos contra seus concorrentes","2014-09-12T20:04:44+0000","link","http://abr.ai/1qQ8vLh","109597815616_10152509730545617",10385,2222,6486,2014-09-12,5596.7,-2,"Dilma",NA
"1092","109597815616","VEJA","OPINIÃO de Augusto Nunes","2014-09-04T00:00:01+0000","link","http://abr.ai/1w7AQ12","109597815616_10152490312400617",7981,1380,7280,2014-09-04,5580.1,-10,"Dilma",NA
"2190","464835070315805","Tico Santa Cruz","Dilma se aliou ao Bispo Macedo. Marina tem o apoio do Malafaia. Pro Aécio se igualar, só tentando o apoio do Capiroto! Kkkk","2014-09-04T23:37:52+0000","status",NA,"464835070315805_544258359040142",33639,1632,2870,2014-09-04,5575.5,-10,"Aécio",NA
"2027","411754008869486","Aécio Neves","Para Aécio Neves, a segurança pública é uma responsabilidade do governo federal. No programa de TV, exibido na noite de hoje, Aécio  disse que assume o compromisso de, como presidente, fazer com que os brasileiros se sintam mais seguros. Ele defende a reforma do Código Penal e a revisão da Lei da Maioridade Penal, em casos de reincidência e crimes hediondos. Veja o que Aécio fez em Minas e compartilhe este vídeo! #MudaBrasil","2014-09-06T23:35:03+0000","video","https://www.facebook.com/video.php?v=828260437218839","411754008869486_828260437218839",10832,1130,6893,2014-09-06,5558,-8,"Aécio",NA
"506","109597815616","VEJA","Augusto Nunes faz importante observação sobre a entrevista de Dilma ao 'Jornal Nacional'","2014-09-10T18:02:39+0000","link","http://abr.ai/1lW2UUV","109597815616_10152505253330617",11128,1630,6345,2014-09-10,5408.8,-4,"Dilma",NA
"1851","411754008869486","Aécio Neves","Esperamos que a CPMI possa receber todas as informações relacionadas às denúncias que envolvem a Petrobras, para que aqueles que, eventualmente, tenham assaltado a nossa maior empresa pública possam ser exemplarmente punidos. - Aécio Neves","2014-09-08T23:25:28+0000","video","https://www.facebook.com/video.php?v=829456453765904","411754008869486_829456453765904",13906,1226,5847,2014-09-08,5266.6,-6,"Aécio",NA
"1711","411754008869486","Aécio Neves","Está na hora de darmos um basta em tanta corrupção e desrespeito! - #MudaBrasil","2014-09-10T17:00:00+0000","video","https://www.facebook.com/video.php?v=830370973674452","411754008869486_830370973674452",10990,817,6417,2014-09-10,5194.3,-4,"Aécio",NA
"1448","411754008869486","Aécio Neves","Diz aí, Zico! O que você acha de Aécio Neves? #QuemConheceConfia #MudaBrasil #VamosAgir","2014-09-13T22:00:00+0000","video","https://www.facebook.com/video.php?v=832174253494124","411754008869486_832174253494124",12241,715,6234,2014-09-13,5179,-1,"Aécio",NA
"2795","126351747376464","Marina Silva","O Pré-Sal é patrimônio do Brasil.","2014-09-08T15:19:10+0000","video","https://www.facebook.com/video.php?v=856655871012711","126351747376464_856655871012711",14891,885,5699,2014-09-08,5174,-6,"Marina",NA
"857","351338968253034","Dilma Rousseff","Perdeu o programa deste sábado (6)? No programa de hoje, Dilma explica o impacto das medidas defendidas por Marina Silva, como a independência do Banco Central e o tratamento do pré-sal sem a prioridade necessária.""Me vejo obrigada, como presidenta da República, a alertar a população de que, se colocar em prática o seu programa de governo, Marina pode desmontar o Brasil que tanto custamos a melhorar"", disse.Quer #MaisMudançasMaisFuturo? Assista e compartilhe! ;D","2014-09-06T17:00:01+0000","video","https://www.facebook.com/video.php?v=737334632986797","351338968253034_737334632986797",8008,1378,6545,2014-09-06,5141.2,-8,"Dilma",NA
"578","358850087527814","Ricardo Amorim","Diogo Mainardi: “”Dilma diz que não existem suspeitas sobre seu governo no caso Petrobras”. Tem razão: existem apenas certezas.”","2014-09-10T00:55:07+0000","status",NA,"358850087527814_697035317042621",12678,251,5926,2014-09-10,4898.7,-4,"Dilma",NA
"763","351338968253034","Dilma Rousseff","MEDIDA PERIGOSAA autonomia do Banco Central, medida defendida por Marina Silva, é um perigo para o País.A medida tira do presidente da República e do Congresso, eleitos pelo povo, o controle sobre a política econômica do País e entrega para os bancos.Aí, banqueiros passam a decidir sobre juros, preços, salários, política externa e orçamento.Importante lembrar: o poder sem limites dado aos bancos levou à crise que fez evaporar 60 milhões de empregos no mundo.Enquanto isso, no Brasil, os governos Dilma e Lula criaram mais de 11 milhões de empregos.","2014-09-08T00:00:00+0000","video","https://www.facebook.com/video.php?v=737932236260370","351338968253034_737932236260370",8288,1186,6099,2014-09-08,4844,-6,"Dilma",NA
"2064","411754008869486","Aécio Neves","Aécio Neves deixou mais um recado para vocês no programa exibido, hoje, em rede nacional. Compartilhe! #MudaBrasil","2014-09-06T16:30:00+0000","video","https://www.facebook.com/video.php?v=828018757243007","411754008869486_828018757243007",9974,921,5939,2014-09-06,4837.1,-8,"Aécio",NA
"1688","411754008869486","Aécio Neves","A boa política se faz com coerência e convicção. Aécio Neves explica sua posição sobre as irregularidades do governo do PT. Se concordar, compartilhe! #MudaBrasil","2014-09-10T22:00:00+0000","video","https://www.facebook.com/video.php?v=830553910322825","411754008869486_830553910322825",10926,720,5874,2014-09-10,4833,-4,"Aécio",NA
"157","291736567520630","Pretinho do Poder","A que ponto chegou #Desespero de Dilma. Danca ate Funk por votos!","2014-09-14T18:32:04+0000","video","https://www.facebook.com/video.php?v=985413551486258","291736567520630_985413551486258",11314,1850,5058,2014-09-14,4721.2,0,"Dilma",NA
"2835","126351747376464","Marina Silva","No dia da Independência dê o seu voto independente para mudar o Brasil.#SouMarina40","2014-09-08T00:36:06+0000","video","https://www.facebook.com/video.php?v=855954407749524","126351747376464_855954407749524",17093,1289,4370,2014-09-08,4718,-6,"Marina",NA
"374","199599520097304","Alvaro Dias","PARA RELEMBRAR: AJUDINHA MILIONÁRIA A EVONo mês de fevereiro, a Câmara dos Deputados retirou de pauta a Medida Provisória 625/13, que concedia crédito de R$ 60 milhões ao Ministério de Minas e Energia para o conserto de equipamentos de geração de energia para doação à Bolívia. Apesar da retirada de pauta, o dinheiro foi disponibilizado, pelo fato de a MP ter força de lei. Com isso, o governo Dilma liberou R$ 60 milhões para contratar, sem licitação, uma estatal para prestar serviços de recuperação e transporte de equipamentos de geração de energia elétrica. Os equipamentos serão cedidos à Bolívia. O Palácio do Planalto alega que o governo de Evo Morales pediu ajuda ao Brasil para enfrentar o déficit energético do País. Ou seja, enquanto aqui a população sofre com apagões nas capitais e no interior, o Brasil cede milhões para ajudar a Bolívia a enfrentar seu déficit energético. E o pior de tudo: o Brasil vai entregar para a Bolívia a termoelétrica do Rio Madeira, que está sem utilização e precisa de reforma, e vai gastar esse dinheiro para reformá-la para dá-la a Evo Morales. #ADComunicação","2014-09-12T16:01:25+0000","link","http://www.alvarodias.com.br/2014/02/governo-libera-60-milhoes-para-que-evo-possa-enfrentar-o-deficit-energetico-na-bolivia/","199599520097304_791946110862639",3621,517,6963,2014-09-12,4695,-2,"Dilma",NA
"1657","411754008869486","Aécio Neves","A indignação de Aécio é semelhante à da maioria dos brasileiros. O Brasill não merece o governo que está aí!Vamos compartilhar esse desejo urgente da mudança segura. Assista ao programa de Aécio Neves transmitido, hoje, na TV. #MudaBrasil","2014-09-11T16:30:00+0000","video","https://www.facebook.com/video.php?v=830925096952373","411754008869486_830925096952373",10232,764,5695,2014-09-11,4669.4,-3,"Aécio",NA
"2021","100114543363891","Folha de S.Paulo","Delação de ex-diretor da Petrobras esquenta as eleições (via Folha Poder)","2014-09-07T01:30:01+0000","link","http://uol.com/bwdTwM","100114543363891_857563927618945",7769,1595,5570,2014-09-07,4597.4,-7,"Aécio",NA
"3115","115987058416365","Estadão","#FraseDoDia ""Se Marina ganhar para presidente, não vai deixar mais papai aqui neste bairro (...). O que é que o povo vai dizer: 'ela ganhou, o pai dela continua ali, no alagado, e ela não está fazendo nada pelo pai. Vai fazer por alguém?'"", diz Maria Elizete da Silva, irmã de Marina Silva, sobre o pai morar em um bairro pobre de Rio Branco (AC). Veja mais em: #Eleições2014Foto: André Dusek e Fábio Fabrini/Estadão","2014-09-04T12:36:16+0000","photo","https://www.facebook.com/estadao/photos/pcb.996527477028981/996523343696061/?type=1&relevant_count=2","115987058416365_996527477028981",5664,2453,5477,2014-09-04,4588.5,-10,"Marina","http://oesta.do/1lBN1lS "
"251","109597815616","VEJA",NA,"2014-09-13T21:33:47+0000","link","http://abr.ai/ZkIk67","109597815616_10152512016385617",9517,2849,4537,2014-09-13,4528.6,-1,"Dilma",NA
"362","115987058416365","Estadão","A Justiça inocentou o Collor. Eu respeito, diz Dilma Rousseff. via Politica Estadão #eleições2014","2014-09-12T17:50:02+0000","link","http://politica.estadao.com.br/noticias/geral,em-sabatina-dilma-defende-aliancas-com-collor-e-sarney,1559193","115987058416365_1003664372981958",3798,1853,5974,2014-09-12,4520.1,-2,"Dilma",NA
"794","115987058416365","Estadão","Dilma chega ao evento no Rolls Royce presidencial; autoridades suspeitas de desvio de verba da Petrobrás não compareceram ao desfile cívico. #7deSetembro (Via Politica Estadão)","2014-09-07T13:50:01+0000","link","http://oesta.do/WzyifN","115987058416365_999154353432960",9545,1675,5072,2014-09-07,4500.2,-7,"Dilma",NA
"1618","411754008869486","Aécio Neves","Chegou a hora de darmos um basta em tanta corrupção! #MudaBrasil","2014-09-12T13:48:57+0000","video","https://www.facebook.com/video.php?v=831434120234804","411754008869486_831434120234804",11782,803,5048,2014-09-12,4447.9,-2,"Aécio",NA
"1776","411754008869486","Aécio Neves","O Brasil não merece o governo que o país tem hoje! Aécio quer transformar a indignação de milhões de brasileiros em um governo honrado. Assista ao programa de TV de Aécio Neves, exibido agora à noite, e compartilhe! #MudaBrasil","2014-09-09T23:35:45+0000","video","https://www.facebook.com/video.php?v=830010633710486","411754008869486_830010633710486",9850,828,5351,2014-09-09,4444,-5,"Aécio",NA
"3016","126351747376464","Marina Silva","O Brasil precisa de firmeza e também de paz.Precisamos construir, sem destruir.Manter e aperfeiçoar as conquistas do passado, mas olhar para o futuro.#SouMarina40","2014-09-05T00:23:43+0000","video","https://www.facebook.com/video.php?v=854218974589734","126351747376464_854218974589734",14190,923,4516,2014-09-05,4405.5,-9,"Marina",NA
"2682","250276871743419","Caetano Veloso","Confira o depoimento de Caetano Veloso para o programa eleitoral da campanha de Marina Silva: bit.ly/1BqmXhq.#CaetanoVeloso #Caetano #SouMarina40","2014-09-09T23:20:49+0000","link","http://bit.ly/1BqmXhq","250276871743419_571040579667045",2927,768,6449,2014-09-09,4392.5,-5,"Marina",NA
"2060","109597815616","VEJA",NA,"2014-09-06T16:43:50+0000","link","http://abr.ai/1pBetvm","109597815616_10152496828255617",16662,1169,3933,2014-09-06,4376.7,-8,"Aécio",NA
"3282","126351747376464","Marina Silva","Funk Marina chegando...#SouMarina40","2014-09-02T13:52:37+0000","video","https://www.facebook.com/video.php?v=852750774736554","126351747376464_852750774736554",12972,869,4495,2014-09-02,4254.9,-12,"Marina",NA
"305","115987058416365","Estadão","Campanha #MenosÓdioMalafaia está no topo dos trending topics (via Politica Estadão)","2014-09-12T22:35:01+0000","link","http://politica.estadao.com.br/noticias/eleicoes,malafaia-tenta-tuitaco-contra-dilma-e-reacao-de-internautas-chega-ao-topo-do-twitter,1559337","115987058416365_1003864946295234",13591,2144,3729,2014-09-12,4239.7,-2,"Dilma",NA
"3277","109597815616","VEJA",NA,"2014-09-02T14:26:42+0000","link","http://abr.ai/1pE9Nuw","109597815616_10152486764590617",13399,3638,2834,2014-09-02,4131.7,-12,"Marina",NA
"1653","411754008869486","Aécio Neves","Em meio a tantas denúncias de corrupção e ao verdadeiro tumulto das áreas essenciais do governo federal, como educação, saúde, segurança, transporte, eu me lembro que meu avô Tancredo Neves dizia que a dignidade e a austeridade são regras essenciais para o exercício da democracia. A ética não pode ser uma bandeira de campanha política, dessas que são balançadas em comícios, abandonada logo após o embate eleitoral. Ela precisa nortear toda a ação política das pessoas que acham que são capazes de governar. Um governante mostra que é honrado em dois momentos: quando assume os erros de percurso de seu governo ou quando não tem vergonha de reconhecer cada umas das escolhas que já fez em sua vida e segue, com coerência, defendendo os seus princípios. Hoje, vemos que o PT é imbatível no seu descompromisso com a ética. As duas principais candidatas no novo e velho PT, infelizmente, seguem as mesmas práticas do partido que as acolheu por tantos anos: dizem que ""não sabiam nada"" em relação a práticas criminosas; copiam a postura daqueles que sabem que estão corretos, sem reconhecer isso publicamente, como se a ideia original pertencesse a elas. Falta a esse tipo de política a essência ética, que, hoje, está apenas no discurso. Começo e vou terminar a minha campanha e toda a trajetória política tendo a mesma crença, adotando a mesma postura e acreditando que o caminho para o Brasil é a educação e a ética. Essa é boa política que me move. E seguir defendendo isso é o compromisso que tenho com a minha história e meu país, um compromisso com vocês. Continuo confiante que o eleitor reconhecerá a melhor candidatura e nos levará ao segundo turno e à vitória - Aécio Neves","2014-09-11T18:50:34+0000","status",NA,"411754008869486_831007616944121",16975,1051,3427,2014-09-11,4069,-3,"Aécio",NA
"3218","115987058416365","Estadão","Veja os números da pesquisa (via Politica Estadão) #eleições2014","2014-09-02T21:35:01+0000","link","http://politica.estadao.com.br/noticias/eleicoes,marina-cresce-e-chega-aos-39-das-intencoes-de-voto-entre-paulistas,1553745","115987058416365_994361700578892",11324,1411,4123,2014-09-02,4029.5,-12,"Marina",NA
"583","351338968253034","Dilma Rousseff","O programa desta noite aborda um tema que causa revolta e repulsa: a corrupção. Dilma fala sobre as ações tomadas desde o primeiro dia do seu governo para que nada fosse varrido para debaixo do tapete. ""Estamos combatendo a corrupção não com palavras vazias, como tantos outros, mas com medidas concretas."" Confira!Gostou? Então curta e compartilhe! ;D","2014-09-10T00:00:00+0000","video","https://www.facebook.com/video.php?v=739117836141810","351338968253034_739117836141810",9775,1149,4360,2014-09-10,3938.2,-4,"Dilma",NA
"2711","126351747376464","Marina Silva","""E neste momento eu acho que ela representa os anseios de mudanças no organismo da sociedade brasileira, entendeu?""Caetano Veloso","2014-09-09T16:00:00+0000","video","https://www.facebook.com/video.php?v=857205354291096","126351747376464_857205354291096",12147,726,4176,2014-09-09,3938.1,-5,"Marina",NA
